panel,sort_variable,variable_label,spread_definition,return_horizon_months,raw_coefficient,raw_hac_t_stat,raw_hac_p_value,orth_coefficient,orth_hac_t_stat,orth_hac_p_value,orth_bootstrap_t_stat,orth_bootstrap_p_value,orth_observations
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,1,-0.9201348440557816,-1.1733419622974537,0.24065870110385432,-1.3357952762298873,-1.9013452358800276,0.057256807606735426,-1.918716687205648,0.05,288
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,3,-0.5218086808152442,-0.3368669491498844,0.7362172013323123,-2.4359241425683846,-1.3832050010553625,0.16660201673611652,-1.3870875936311349,0.192,286
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,6,-3.820454823187479,-1.413010156142846,0.1576527379185168,-6.546560593628212,-2.3877687619725823,0.016951003509184166,-2.3862385796633414,0.022,283
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,12,-9.141759860497784,-1.609231884873022,0.10756564686248496,-14.037084190102998,-3.147651588938405,0.001645877411047334,-2.8427154223140776,0.02,277
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,1,-0.40304194464652,-0.9085609409966297,0.36358193196347194,-0.3783411043790907,-0.8045698009288416,0.42106797473225144,-0.831093250424091,0.424,288
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,3,-1.5283826107115377,-1.3472074470215811,0.1779134301876573,-1.0564517219856182,-0.7922248448711565,0.42822958437232267,-0.7448901207800737,0.51,286
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,6,-3.28128777189013,-1.8696692656314131,0.061529760028536565,-2.861575375080533,-1.2308986909146429,0.21836075729008672,-1.2168241738584145,0.252,283
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,12,-6.3252831658425945,-1.8214129237838432,0.06854411209767221,-8.365347151917195,-2.2878342987085327,0.0221471726150163,-2.1140762429088014,0.086,277
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,1,-0.7867610199725563,-1.1882734697090496,0.23472568648745037,-2.600736131326331,-3.503741957136944,0.00045876967288911307,-3.506895497624256,0.0,288
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,3,-1.3027530781494705,-0.8136638780565075,0.4158375328526133,-6.493914795755549,-3.559900218081847,0.00037099573305755194,-3.4759732873420925,0.0,286
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,6,-4.219815917011403,-1.653165991753869,0.09829708572501654,-12.078322058436076,-4.296106030206289,1.7382446570043623e-05,-4.254726553253522,0.0,283
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,12,-5.453635875946079,-1.0913241718755573,0.27513026524233897,-19.654021763246444,-4.434572031997647,9.225537086149595e-06,-4.183523151991827,0.0,277
"Panel A. Size, Age, and Risk",IVOL_FF3,\var{IVOL}^{FF3},High minus low,1,-0.6782248698025622,-0.8534229273520749,0.39342481157234116,-2.242455345153076,-2.6943478567645247,0.007052651663799012,-2.69177190433729,0.0,288
"Panel A. Size, Age, and Risk",IVOL_FF3,\var{IVOL}^{FF3},High minus low,3,-1.5301184378014765,-0.8478206016698828,0.39653788788276284,-5.598576500099081,-2.9657823094260225,0.0030191410943935953,-3.008461896384616,0.002,286
"Panel A. Size, Age, and Risk",IVOL_FF3,\var{IVOL}^{FF3},High minus low,6,-3.8249626736872018,-1.3648679791130267,0.17229454806752534,-11.7351312839555,-4.052724153135374,5.062468048200965e-05,-4.024315534595097,0.0,283
"Panel A. Size, Age, and Risk",IVOL_FF3,\var{IVOL}^{FF3},High minus low,12,-5.150719111039593,-1.0701850718409536,0.2845360124469792,-18.422159014155813,-3.7540813885129,0.00017397833184307424,-3.756898955267,0.0,277
Panel B. Profitability and Dividend Policy,E_plus_BE,\var{E+BE},Low minus high,1,0.2824947195196043,0.5768555011356764,0.564037073090378,-0.4370657088165858,-0.6361964255385215,0.5246484026579166,-0.6163812533223888,0.584,256
Panel B. Profitability and Dividend Policy,E_plus_BE,\var{E+BE},Low minus high,3,1.064622078321386,1.2528213327546538,0.21027073620824563,0.4293950310205971,0.3360600841205736,0.736825557905211,0.3237594456626525,0.8,252
Panel B. Profitability and Dividend Policy,E_plus_BE,\var{E+BE},Low minus high,6,0.9825455373609464,0.6259817573532742,0.5313269069582776,0.4082646724744163,0.1772381180853329,0.859321355699108,0.175750032590827,0.922,247
Panel B. Profitability and Dividend Policy,E_plus_BE,\var{E+BE},Low minus high,12,2.080936223290055,0.9202104748693348,0.35746278147754446,0.0753840626441482,0.0218853990654072,0.9825393718446868,0.0218235534453971,0.92,241
Panel B. Profitability and Dividend Policy,UNPROFITABLE,\var{Unprofitable},$>0$ minus $\leq 0$,1,-0.0312177315306667,-0.0798171453816451,0.9363826877879742,-0.542620573522645,-0.9553500357352368,0.3394007120922635,-0.978807040245292,0.398,256
Panel B. Profitability and Dividend Policy,UNPROFITABLE,\var{Unprofitable},$>0$ minus $\leq 0$,3,0.412159431998652,0.7476798776163676,0.4546532713575617,-1.1095867280858722,-1.3627575080581886,0.172958946924577,-1.3575157625906702,0.188,252
Panel B. Profitability and Dividend Policy,UNPROFITABLE,\var{Unprofitable},$>0$ minus $\leq 0$,6,0.0372796563088242,0.0421063922268157,0.9664138844317972,-2.4999323453359845,-1.8437595705896936,0.06521818713876104,-1.7643756158416273,0.102,247
Panel B. Profitability and Dividend Policy,UNPROFITABLE,\var{Unprofitable},$>0$ minus $\leq 0$,12,-0.9901696368957564,-0.8882902376437214,0.37438464959574397,-4.856958364637351,-3.0413810667670647,0.0023549558034760094,-2.8988363941675725,0.014,241
Panel B. Profitability and Dividend Policy,NON_D_PAYER,\var{Nonpayer},Nonpayer minus payer,1,0.0706056127903211,0.2703902277520384,0.7868600573351578,-0.6287734580445482,-2.238945186897832,0.025159482850411898,-2.2622138870558235,0.034,288
Panel B. Profitability and Dividend Policy,NON_D_PAYER,\var{Nonpayer},Nonpayer minus payer,3,0.1880446262327909,0.3223606152145837,0.7471795174783393,-1.878800770692864,-2.4586832263446867,0.013944759884037691,-2.478266231918675,0.02,286
Panel B. Profitability and Dividend Policy,NON_D_PAYER,\var{Nonpayer},Nonpayer minus payer,6,-0.1437673226955417,-0.1426237647255548,0.8865873278175789,-3.58098877430115,-2.876219991935938,0.0040246910195591646,-2.909944119189458,0.012,283
Panel B. Profitability and Dividend Policy,NON_D_PAYER,\var{Nonpayer},Nonpayer minus payer,12,-0.664428780259693,-0.4062156679138758,0.6845841428770425,-4.96016555439862,-2.8041356068463275,0.005045168059148509,-2.5933151246309363,0.022,277
Panel C. Tangibility and Growth Opportunities,PPE_A,\var{PPE/A},Low minus high,1,-1.3661728856595372,-2.408881322802511,0.016001500369071095,-1.2736622546159102,-2.98662668461162,0.0028207394056939915,-2.940353663190406,0.004,288
Panel C. Tangibility and Growth Opportunities,PPE_A,\var{PPE/A},Low minus high,3,-3.466754587609186,-2.846570222857251,0.004419298099198028,-4.455361068626997,-3.8609016239869054,0.00011296938427035247,-3.785542232851656,0.0,286
Panel C. Tangibility and Growth Opportunities,PPE_A,\var{PPE/A},Low minus high,6,-6.015937186122041,-3.402046547775901,0.0006688324507441368,-8.337796156053246,-4.205707804985292,2.602663177896416e-05,-4.111233937836213,0.0,283
Panel C. Tangibility and Growth Opportunities,PPE_A,\var{PPE/A},Low minus high,12,-11.440381936922249,-3.1868483466854447,0.0014383216927373042,-15.27256679906483,-4.83238569021751,1.3490657446745213e-06,-4.374901361678167,0.0,277
Panel C. Tangibility and Growth Opportunities,GS,\var{GS},High minus low,1,-1.1033592365308076,-2.1759646511832798,0.02955790384735264,-0.7974228400469376,-1.3264732231883396,0.18468299881274405,-1.284741793096831,0.192,240
Panel C. Tangibility and Growth Opportunities,GS,\var{GS},High minus low,3,-1.8789742093700492,-1.5760047563259385,0.11502470707508908,-0.878932831140074,-0.6371759947415245,0.5240102121473118,-0.6297876471725166,0.52,238
Panel C. Tangibility and Growth Opportunities,GS,\var{GS},High minus low,6,-3.696245280007668,-1.772581440747497,0.07629808930049393,-1.4146249607798316,-0.5532314225197918,0.5801049528483762,-0.5377616961905896,0.686,235
Panel C. Tangibility and Growth Opportunities,GS,\var{GS},High minus low,12,-3.875931290909985,-1.365395323902323,0.17212883280523802,-3.2091849769741496,-0.6138585788587395,0.5393087837265532,-0.5753176426895134,0.694,229
Panel D. Trading Frictions,ILLIQ,\var{ILLIQ},High minus low,1,0.1031991576606765,0.1977059325165822,0.8432751478599096,-0.3036501593896232,-0.6651726596065602,0.5059400653983147,-0.6615227355713091,0.512,288
Panel D. Trading Frictions,ILLIQ,\var{ILLIQ},High minus low,3,0.7222424392427718,0.8491501322274715,0.395797757685881,-0.030429158583302,-0.0284037446276553,0.9773401376266586,-0.0279103887692772,0.96,286
Panel D. Trading Frictions,ILLIQ,\var{ILLIQ},High minus low,6,-0.1990143083078038,-0.1482587050115709,0.8821386037602462,-1.3169289995239477,-0.6493140402114144,0.5161354124763595,-0.6442506237681798,0.478,283
Panel D. Trading Frictions,ILLIQ,\var{ILLIQ},High minus low,12,-0.1343884008515575,-0.054126806971732,0.9568341346735009,-2.577931181503004,-0.7168861699952822,0.4734443361784936,-0.6858212056617494,0.514,277
Panel D. Trading Frictions,XTURN,\var{XTURN},Low minus high,1,-1.675178516601543,-2.556593915070703,0.010570253359601899,-0.1060007950223729,-0.1608698858285008,0.8721958809758026,-0.1629466634312114,0.858,288
Panel D. Trading Frictions,XTURN,\var{XTURN},Low minus high,3,-3.4828793069946484,-2.301448154348482,0.02136631270858918,1.036683740904562,0.6201487260305242,0.5351598750050376,0.6326838779560288,0.486,286
Panel D. Trading Frictions,XTURN,\var{XTURN},Low minus high,6,-4.76524132999245,-1.7575797161872213,0.07881904714265213,1.9065985552261824,0.6650529327649141,0.5060166375885913,0.689164452741279,0.516,283
Panel D. Trading Frictions,XTURN,\var{XTURN},Low minus high,12,-2.8515996329662667,-1.1009466999072253,0.27091985538101654,4.456156500875869,1.22574980654024,0.22029284096382126,1.1422441896331466,0.294,277
