sort_variable,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
E_plus_BE,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,0.11899451433064395,-0.02525320606680191,0.02525320606680191,-0.02376205540587801,0.02376205540587801,0.0,0.0,0.09433593433126869,241,249.5
E_plus_BE,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,1.102649639622998,0.8439672665282348,-0.8439672665282348,0.7891164282638112,-0.7891164282638112,0.0,0.0,0.0974152335247915,241,249.5
E_plus_BE,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,1.0909910515621857,0.8849083373933746,-0.8849083373933746,0.7893191688454213,-0.7893191688454213,0.0,0.0,0.09793570074435964,241,249.5
GS,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-1.5750414022352484,-0.7826848048270989,0.7826848048270989,-0.7569021947873626,0.7569021947873626,0.0,0.0,0.057948078124366253,229,236.5
GS,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-2.6386275042046274,-1.7224865430397593,1.7224865430397593,-1.5678967536485682,1.5678967536485682,0.25,0.25,0.07009859791558404,229,236.5
GS,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-1.3856309194889043,-1.0743084097048168,1.0743084097048168,-0.9343124142820984,0.9343124142820984,0.0,0.0,0.057113100536126254,229,236.5
ILLIQ,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-1.0572348747499694,-0.514944153610228,0.514944153610228,-0.5048762384426289,0.5048762384426289,0.0,0.0,0.5829635060764055,277,284.5
ILLIQ,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,0.12300972193602172,0.21111763819018767,-0.21111763819018767,0.1865597452231648,-0.1865597452231648,0.0,0.0,0.5818583756752322,277,284.5
ILLIQ,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,0.45882067995406917,0.47537229220112404,-0.47537229220112404,0.4069519148666533,-0.4069519148666533,0.0,0.0,0.5820387609179082,277,284.5
IVOL_FF3,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-9.499580535840867,-3.3667339269597054,3.3667339269597054,-3.3703620726460004,3.3703620726460004,1.0,1.0,0.5234695150068895,277,284.5
IVOL_FF3,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-2.796006273082708,-1.0340741449939845,1.0340741449939845,-1.0192732630912946,1.0192732630912946,0.0,0.0,0.45611155176995266,277,284.5
IVOL_FF3,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-0.5222689786549173,-0.4307417249980072,0.4307417249980072,-0.41005287665373114,0.41005287665373114,0.0,0.0,0.4514123404574085,277,284.5
ME,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-6.088841050632371,-2.2049926469615944,2.2049926469615944,-2.1336895707035506,2.1336895707035506,0.5,0.5,0.4988557128291145,277,284.5
ME,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-3.6010395521390723,-1.1331127381158015,1.1331127381158015,-1.0861129638491747,1.0861129638491747,0.0,0.0,0.4799141751365489,277,284.5
ME,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-2.613085141692415,-0.9536482865048646,0.9536482865048646,-0.9175256704293265,0.9175256704293265,0.0,0.0,0.47649384714391707,277,284.5
NON_D_PAYER,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-2.7621821393592954,-2.594496003006196,2.594496003006196,-2.560934840698723,2.560934840698723,1.0,1.0,0.6265039659358602,277,284.5
NON_D_PAYER,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-0.13738646598303064,0.010977852581797884,-0.010977852581797884,0.015524012506024948,-0.015524012506024948,0.0,0.0,0.6005563938386353,277,284.5
NON_D_PAYER,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-0.3012812662947643,-0.1093405167047132,0.1093405167047132,-0.08390775713514612,0.08390775713514612,0.0,0.0,0.6011441543992937,277,284.5
PPE_A,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-7.334846569590246,-3.971405450950332,3.971405450950332,-3.8030077988891104,3.8030077988891104,1.0,1.0,0.17737914083296194,277,284.5
PPE_A,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-5.572311649078253,-2.961086610030277,2.961086610030277,-2.8307302431171206,2.8307302431171206,1.0,1.0,0.11530637265128366,277,284.5
PPE_A,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-4.64785697219491,-2.8989085580536345,2.8989085580536345,-2.783838591529447,2.783838591529447,1.0,1.0,0.10116584595979822,277,284.5
UNPROFITABLE,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-2.2522745028954634,-1.8008120452875458,1.8008120452875458,-1.7498837032112906,1.7498837032112906,0.25,0.25,0.5036129483900722,241,249.5
UNPROFITABLE,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-0.14298707002973676,-0.04458027829554581,0.04458027829554581,-0.03397720107109925,0.03397720107109925,0.0,0.0,0.4838860677911413,241,249.5
UNPROFITABLE,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-0.20413378348595518,-0.08992149527728022,0.08992149527728022,-0.07201055908916837,0.07201055908916837,0.0,0.0,0.4845612712073885,241,249.5
XTURN,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,1.82335950049606,0.5875203948767944,-0.5875203948767944,0.5752864642248108,-0.5752864642248108,0.0,0.0,0.19803413333197115,277,284.5
XTURN,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-3.1937246966387267,-1.929142121378408,1.929142121378408,-1.7805129502739625,1.7805129502739625,0.5,0.5,0.21162731962961281,277,284.5
XTURN,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-1.4012951607268038,-1.1432275684505564,1.1432275684505564,-1.042181364628906,1.042181364628906,0.0,0.0,0.1985632968047409,277,284.5
age,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-3.1654288383406093,-1.2788819088557934,1.2788819088557934,-1.226720946992845,1.226720946992845,0.25,0.25,0.26986537396579424,277,284.5
age,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-2.8844988732726957,-1.486712644358367,1.486712644358367,-1.408027220244166,1.408027220244166,0.0,0.0,0.2642562561902999,277,284.5
age,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-0.5621101722471822,-0.3888059821407696,0.3888059821407696,-0.34802339997404863,0.34802339997404863,0.0,0.0,0.2519439000479242,277,284.5
risk,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-10.2067486871911,-3.948580059355682,3.948580059355682,-3.8552796225529242,3.8552796225529242,1.0,1.0,0.5613189165434418,277,284.5
risk,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-2.940741472769877,-1.186606877848746,1.186606877848746,-1.124940727172151,1.124940727172151,0.0,0.0,0.4708988956315922,277,284.5
risk,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-1.8396696013951155,-1.1698844454936204,1.1698844454936204,-1.0805197046699873,1.0805197046699873,0.0,0.0,0.46799174077140504,277,284.5
